tier,overwrite_type,name,description_identification_features
Crucial,yes,BRP,"A PHYSICAL, credit-card-sized Biometric Residence Permit CARD. It has TWO sides and BOTH sides are 'BRP': - FRONT: face photo, card number, 'Residence Permit' wording, visa category/type, and an expiry date. - BACK (no face photo): Date and Place of birth, Sex, Nationality, a remarks area often reading 'NO PUBLIC FUNDS' and 'NI NUMBER <number>', and a two-line machine-readable zone (MRZ) at the bottom. The BACK of a BRP is still 'BRP', NOT 'Passport' and NOT 'National Insurance Number' - even though it shows an MRZ and an NI number. A BRP is a small CARD, never a passport booklet page. It is also NOT a 'Share Code Check Result' (a right-to-work check record). And it is NOT a DRIVING LICENCE: a photocard headed 'Driver Licence' / 'Driving Licence' / 'Provisional Driver Licence' (with a licence number, licence class and conditions) is 'UK Driving Licence' or 'Non UK Driving Licence', never 'BRP' - a BRP is headed 'RESIDENCE PERMIT'. If you see either side of a residence-permit card, this is 'BRP'."
Crucial,yes,Certificate of Sponsorship,"The UKVI Certificate of Sponsorship (CoS) details record itself. To be this type the document must show the CoS's OWN fields: a CoS/certificate number, sponsor (licence) name/number, the worker's personal details, the JOB (title and/or SOC occupation code, usually salary and work dates), and dates such as 'Date assigned' and an expiry (use by) date. Merely mentioning sponsorship, 'Tier 2', 'Skilled Worker' or a CoS number does NOT make a document a CoS. It is NOT: a Sponsorship Management System screenshot or navigation/summary page without the full job details (that is 'CoS Summary'); an email or letter discussing a CoS (that is 'CoS Query Email'); a police/criminal-record certificate ('Proof of Police Check'); a training certificate ('Training Certificate'); a visa approval letter ('Health and Social Worker Visa Letter'); a visa application receipt ('Proof of Visa Application'); an offer letter; or a university 'Confirmation of Acceptance for Studies' (CAS) - a CAS is the STUDENT-visa equivalent issued by a university, never a CoS (file it 'Other - Confirmation of Acceptance for Studies (CAS)'). THE WORD 'CERTIFICATE' IN A TITLE NEVER MAKES A DOCUMENT A CoS - require the CoS number AND the sponsor AND the job/salary fields to be visible. In particular a document headed 'Certificate of Motor Insurance' or otherwise from an INSURER (policyholder, vehicle registration mark, policy number, cover dates) is 'Proof of Car Insurance'; a bank statement (bank logo, account/sort code, transaction table) is 'Bank Statement'; a gov.uk 'Vehicle Tax and MOT status' page is 'Proof of Vehicle Tax'. None of these become a CoS by sitting in a sponsorship folder or carrying a 'CERTIFIED TRUE COPY' stamp."
Crucial,no,DBS Check Notes,"Free-text notes, a memo, a chase-up email, or a hand-typed/handwritten record specifically ABOUT A DBS CHECK. To be this type the TEXT ITSELF must mention DBS - e.g. 'DBS', 'Disclosure and Barring Service', 'Disclosure', 'Barring', 'DBS Update Service', 'enhanced/standard/basic check', or a disclosure/DBS reference number. It is the informal notes ABOUT a check, not the certificate and not the check-record sheet. CRITICAL: notes/handwriting that do NOT mention DBS are NOT 'DBS Check Notes', however 'notes-like' they look. In particular it is NOT: probation notes / end-of-probation feedback ('Probation Review'); supervision notes ('Supervision'); interview notes ('Interview Notes'); any vehicle/insurance declaration ('Use of Own Car Declaration'); any safeguarding questionnaire ('Safeguarding Questionnaire'); shift complaints, training lists, or payslip queries; or any other handwritten HR form. It is NOT an 'Adult First Certificate' and NOT a 'DBS Document' (the official certificate)."
Crucial,no,DBS Check,"The employer's/agency's DBS CHECK RECORD or RESULT SUMMARY - NOT the certificate itself. To be this type the document's CONTENT must carry an explicit DBS signal - one or more of: 'DBS', 'Disclosure and Barring Service', 'Disclosure number', 'DBS Reference', 'Barred List', 'Certificate Issue Date', 'Result Date', 'Adults/Children's Workforce', an enhanced/standard/basic check, or a DBS Update Service status page. This includes: a 'DBS Service Check' / 'DBS Update Service' status check or service-check printout; AND a 'DBS Check list' / results-summary sheet an employer fills in to record and verify a check (Disclosure number, DBS Reference, Barred List, Workforce Type, Result Date, 'Verification By'). A sheet whose purpose is to LOG or VERIFY the outcome of a DBS check is 'DBS Check'. WITHOUT an explicit DBS signal it is NOT a 'DBS Check', however form-like it looks: it is NOT probation notes / end-of-probation feedback ('Probation Review'), NOT supervision notes, NOT interview notes, NOT any vehicle/insurance declaration ('Use of Own Car Declaration'), NOT a safeguarding questionnaire, and NOT any HR form that merely happens to be handwritten or signed. It is 'DBS Check', NEVER 'DBS Document' (the certificate)."
Crucial,yes,DBS Document,"The OFFICIAL DBS CERTIFICATE itself - the actual certificate an employer keeps. Valid forms are ONLY: the GREEN paper DBS certificate; a 'DBS Certificate Record' that reproduces the certificate's own content (Name, Date of Birth, Date of original DBS Check, Type of check, Outcome, Unique Reference Number, counter-signatory); and a certificate bearing a 'uCheck' logo. It IS the certificate - a formal issued document with a certificate/disclosure number and the disclosure outcome. It is NOT a 'DBS Service Check' or a 'DBS Check list'/results-summary sheet with employer verification fields ('Result Date', 'Position', 'Workforce Type', 'Verification By', 'Disclosure Level', 'Barred List') - that is 'DBS Check'. It is NOT internal notes ('DBS Check Notes') and NOT an 'Adult First Certificate'. If in doubt between the certificate and a check/verification record, only call it 'DBS Document' when it clearly IS the issued certificate."
Crucial,no,Employment Contract,"The actual contract / statement-of-terms document, titled e.g. 'Statement of Main Terms of Employment', 'Schedule of Statement of Main Terms and Conditions of Employment', 'Contract of Employment', or 'Employment Contract'. NOT a separate in-pack page such as a Deductions from Pay Agreement, pay agreement, policy, job description, or lone signature page. It is also NOT any document that simply arrived filed under a contract name: a gov.uk 'Check MOT history' printout is 'Other - MOT history check', a 'Vehicle Tax and MOT status' page is 'Proof of Vehicle Tax', and a university letter confirming a student's enrolment/term dates is 'Term Time Evidence'. Require contract wording - parties, job title, hours, notice, terms - on the page."
Crucial,no,Employment Contract Amendment,"A FORMAL VARIATION/AMENDMENT to existing contract terms - titled e.g. 'Amendment to Contract', 'Variation of Terms', 'Change to Terms and Conditions', 'Change in contract', typically short and referring back to an existing contract, changing the POSITION/role, hours, or contractual terms (possibly together with pay). It is NOT the contract / statement-of-terms itself ('Employment Contract'), and NOT a simple pay-rise letter: a letter that ONLY notifies a new salary/hourly rate with no change of role or terms is 'Other - salary increase letter', not an amendment."
Crucial,yes,eVisa Screenshot,"A screenshot of the UKVI ONLINE 'view and prove your immigration status' / eVisa account page - shows the person's name, photo, immigration status (e.g. 'Skilled Worker'), and the conditions/validity of their leave, from the gov.uk view-immigration-status service. It is the person's OWN status page, NOT the employer's right-to-work check result (that is 'Share Code Check Result') and NOT a BRP card."
Crucial,no,Health and Social Worker Visa Letter,"A visa APPROVAL/grant LETTER or email mentioning the Health and Care Worker route - letter format, addressed to the applicant, confirming the visa decision. It is a LETTER: NOT the visa sticker in a passport ('Visa Vignette'), NOT the online status page ('eVisa Screenshot'), and NOT an application/payment receipt ('Proof of Visa Application')."
Crucial,no,Job Description,"Responsibilities, duties, requirements, person specification"
